init_clonal,total_muts,stage,final_clonal,is_poly,starting_sample,n_APC,mix_frac
74,4685,Dysplasia,0,True,G051,0,0.65
14,4665,Benign,0,True,A001C102,1,0.65
71,2392,Mucosa,0,True,G38,1,0.65
181,5225,Dysplasia,0,True,F-6,0,0.65
106,3422,Mucosa,0,True,A014C001,1,0.65
183,5100,Dysplasia,0,True,F076B,0,0.65
19,3384,Dysplasia,0,True,F037,1,0.65
28,2075,Mucosa,0,True,F-57,1,0.65
107,3203,Benign,0,True,G63,0,0.65
81,4965,Mucosa,0,True,G9,1,0.65
71,2371,Mucosa,0,True,G38,1,0.65
17,3117,Dysplasia,0,True,A002C107,0,0.65
41,3971,Dysplasia,0,True,F092,0,0.65
80,3551,Dysplasia,0,True,F098,0,0.65
41,3920,Mucosa,0,True,F092,0,0.65
663,4893,Dysplasia,19,True,A002C203,0,0.65
187,5621,Mucosa,0,True,F074B,0,0.65
17,3127,Mucosa,0,True,A002C103,0,0.65
11,5517,Dysplasia,0,True,F002,1,0.65
33,1897,Benign,0,True,F-31,0,0.65
23,4701,Mucosa,0,True,G043,1,0.65
73,4630,Dysplasia,0,True,A002C019,1,0.65
28,2072,Benign,0,True,F-57,1,0.65
107,3398,Benign,0,True,G63,0,0.65
495,4963,Mucosa,0,True,G004,1,0.65
81,5009,Mucosa,0,True,G9,1,0.65
49,4013,Dysplasia,1,True,F092,0,0.65
452,4313,Dysplasia,0,True,F080B,0,0.65
279,7405,Mucosa,0,True,G044,0,0.65
5,2540,Mucosa,0,True,A002C207,0,0.65
288,3854,Mucosa,0,True,A002C010,0,0.65
80,3215,Mucosa,0,True,F098,0,0.65
546,3074,Mucosa,0,True,G6B,0,0.65
19,3390,Dysplasia,0,True,F037,1,0.65
74,4656,Mucosa,0,True,G051,0,0.65
107,3231,Mucosa,0,True,G63,0,0.65
5,2552,Mucosa,0,True,A002C207,0,0.65
17,5983,Dysplasia,1,True,F072B,0,0.65
81,4958,Mucosa,0,True,G9,1,0.65
11,5484,Mucosa,0,True,F002,1,0.65
33,3598,Dysplasia,0,True,A002C016,0,0.65
123,3819,Benign,0,True,G31,0,0.65
308,8231,Dysplasia,0,True,A002C204,0,0.65
123,3628,Mucosa,0,True,G31,0,0.65
81,4965,Mucosa,0,True,G9,1,0.65
33,1880,Mucosa,0,True,F-31,0,0.65
19,7618,Mucosa,0,True,G062,0,0.65
17,3115,Dysplasia,0,True,A002C107,0,0.65
54,1927,Mucosa,0,True,G69,0,0.65
156,3746,Mucosa,4,True,G024,1,0.65
81,3029,Mucosa,0,True,F008,1,0.65
52,4049,Dysplasia,1,True,F092,0,0.65
41,3920,Mucosa,0,True,F092,0,0.65
54,2117,Benign,0,True,G69,0,0.65
244,2684,Mucosa,0,True,A002C202,0,0.65
127,3760,Benign,0,True,G31,0,0.65
73,4596,Dysplasia,0,True,A002C019,1,0.65
33,3819,Dysplasia,0,True,F063,0,0.65
17,5776,Dysplasia,1,True,F072B,0,0.65
106,3382,Mucosa,0,True,A014C001,1,0.65
41,3922,Dysplasia,0,True,F092,0,0.65
28,2105,Benign,0,True,F-57,1,0.65
23,3155,Dysplasia,0,True,A002C103,0,0.65
28,2105,Benign,0,True,F-57,1,0.65
71,2388,Mucosa,0,True,G38,1,0.65
101,3047,Dysplasia,0,True,A001C004,1,0.65
187,5658,Dysplasia,0,True,F074B,0,0.65
244,2751,Mucosa,0,True,A002C202,0,0.65
90,3300,Dysplasia,0,True,F098,0,0.65
211,3474,Mucosa,6,True,F073B,0,0.65
452,4304,Dysplasia,0,True,F080B,0,0.65
842,3852,Mucosa,366,False,G3,0,0.65
41,3926,Mucosa,0,True,F092,0,0.65
71,2378,Mucosa,0,True,G38,1,0.65
57,1923,Benign,0,True,G69,0,0.65
33,1891,Benign,0,True,F-31,0,0.65
74,4602,Dysplasia,0,True,A002C019,1,0.65
39,4293,Mucosa,0,True,F061,0,0.65
17,5798,Dysplasia,1,True,F072B,0,0.65
21,3163,Dysplasia,0,True,A002C103,0,0.65
80,3226,Dysplasia,0,True,F098,0,0.65
666,4696,Dysplasia,21,True,A002C203,0,0.65
17,5843,Dysplasia,1,True,F072B,0,0.65
71,2710,Mucosa,0,True,G38,1,0.65
34,3390,Dysplasia,0,True,A002C016,0,0.65
227,6015,Mucosa,0,True,G005,0,0.65
181,5028,Dysplasia,0,True,F-6,0,0.65
81,4982,Mucosa,0,True,G9,1,0.65
71,2710,Mucosa,0,True,G38,1,0.65
36,2646,Dysplasia,0,True,A002C116,1,0.65
54,1917,Benign,0,True,G69,0,0.65
19,7635,Dysplasia,0,True,G062,0,0.65
19,7625,Dysplasia,0,True,G062,0,0.65
483,3756,Mucosa,0,True,G061,1,0.65
546,3074,Mucosa,0,True,G6B,0,0.65
495,4969,Mucosa,0,True,G004,1,0.65
187,5641,Dysplasia,0,True,F074B,0,0.65
39,4281,Mucosa,0,True,F061,0,0.65
33,3620,Mucosa,0,True,F063,0,0.65
16,3447,Dysplasia,0,True,A002C107,0,0.65
290,3840,Dysplasia,0,True,A002C010,0,0.65
187,5633,Dysplasia,0,True,F074B,0,0.65
288,3848,Mucosa,0,True,A002C010,0,0.65
306,8257,Dysplasia,0,True,A002C204,0,0.65
288,3854,Mucosa,0,True,A002C010,0,0.65
546,3068,Mucosa,0,True,G6B,0,0.65
19,7642,Mucosa,0,True,G062,0,0.65
59,8034,Dysplasia,0,True,G025,0,0.65
306,8563,Dysplasia,0,True,A002C204,0,0.65
10,2553,Dysplasia,0,True,A002C207,0,0.65
33,3626,Dysplasia,0,True,F063,0,0.65
107,3213,Benign,0,True,G63,0,0.65
495,5111,Mucosa,0,True,G004,1,0.65
14,4669,Benign,0,True,A001C102,1,0.65
107,3197,Mucosa,0,True,G63,0,0.65
39,4327,Dysplasia,0,True,F061,0,0.65
54,3090,Mucosa,0,True,F-26,0,0.65
28,2089,Mucosa,0,True,F-57,1,0.65
19,3367,Mucosa,0,True,F037,1,0.65
483,3772,Dysplasia,0,True,G061,1,0.65
843,3999,Benign,342,False,G3,0,0.65
106,3593,Mucosa,0,True,A014C001,1,0.65
663,4707,Dysplasia,20,True,A002C203,0,0.65
227,6015,Mucosa,0,True,G005,0,0.65
231,6023,Dysplasia,0,True,G005,0,0.65
80,3221,Dysplasia,0,True,F098,0,0.65
106,3482,Mucosa,0,True,A014C001,1,0.65
19,7629,Mucosa,0,True,G062,0,0.65
307,6986,Dysplasia,0,True,F088B,1,0.65
11,5553,Dysplasia,0,True,F002,1,0.65
288,3840,Mucosa,0,True,A002C010,0,0.65
187,5650,Dysplasia,0,True,F074B,0,0.65
227,6351,Mucosa,0,True,G005,0,0.65
156,3846,Dysplasia,4,True,G024,1,0.65
74,4608,Dysplasia,0,True,A002C019,1,0.65
106,3399,Mucosa,0,True,A014C001,1,0.65
452,4340,Mucosa,0,True,F080B,0,0.65
279,7411,Mucosa,0,True,G044,0,0.65
452,4306,Mucosa,0,True,F080B,0,0.65
663,4758,Dysplasia,20,True,A002C203,0,0.65
59,7886,Mucosa,0,True,G025,0,0.65
71,4803,Dysplasia,0,True,A002C019,1,0.65
33,1904,Benign,0,True,F-31,0,0.65
33,1883,Mucosa,0,True,F-31,0,0.65
71,4592,Mucosa,0,True,A002C019,1,0.65
7,2543,Dysplasia,0,True,A002C207,0,0.65
269,1991,Mucosa,0,True,G61B,1,0.65
17,3120,Dysplasia,0,True,A002C107,0,0.65
19,3437,Dysplasia,0,True,F037,1,0.65
54,1946,Mucosa,0,True,G69,0,0.65
19,7618,Mucosa,0,True,G062,0,0.65
211,3805,Dysplasia,6,True,F073B,0,0.65
71,2411,Mucosa,0,True,G38,1,0.65
41,3960,Mucosa,0,True,F092,0,0.65
17,5786,Dysplasia,1,True,F072B,0,0.65
246,2712,Dysplasia,0,True,A002C202,0,0.65
246,2685,Dysplasia,0,True,A002C202,0,0.65
74,4608,Dysplasia,0,True,A002C019,1,0.65
39,4290,Dysplasia,0,True,F061,0,0.65
107,3381,Dysplasia,0,True,A014C001,1,0.65
270,2044,Dysplasia,0,True,G61B,1,0.65
59,7910,Mucosa,0,True,G025,0,0.65
483,3772,Dysplasia,0,True,G061,1,0.65
106,3422,Mucosa,0,True,A014C001,1,0.65
11,5524,Dysplasia,0,True,F002,1,0.65
34,2976,Dysplasia,0,True,A002C116,1,0.65
842,3862,Mucosa,366,False,G3,0,0.65
19,7635,Mucosa,0,True,G062,0,0.65
10,5753,Dysplasia,0,True,F007,0,0.65
80,3238,Dysplasia,0,True,F098,0,0.65
23,4684,Dysplasia,0,True,G043,1,0.65
28,2089,Mucosa,0,True,F-57,1,0.65
187,5629,Dysplasia,0,True,F074B,0,0.65
483,3743,Mucosa,0,True,G061,1,0.65
61,7899,Dysplasia,0,True,G025,0,0.65
71,2395,Benign,0,True,G38,1,0.65
33,3725,Dysplasia,0,True,A002C016,0,0.65
39,4289,Dysplasia,0,True,F061,0,0.65
227,6019,Dysplasia,0,True,G005,0,0.65
10,5719,Dysplasia,0,True,F007,0,0.65
183,5037,Mucosa,0,True,F076B,0,0.65
156,3753,Dysplasia,4,True,G024,1,0.65
41,4258,Dysplasia,0,True,F092,0,0.65
54,3111,Mucosa,0,True,F-26,0,0.65
33,1891,Benign,0,True,F-31,0,0.65
107,3197,Mucosa,0,True,G63,0,0.65
23,4688,Mucosa,0,True,G043,1,0.65
33,1887,Mucosa,0,True,F-31,0,0.65
41,3989,Dysplasia,0,True,F092,0,0.65
17,5774,Mucosa,1,True,F072B,0,0.65
842,3885,Mucosa,366,False,G3,0,0.65
23,4701,Mucosa,0,True,G043,1,0.65
71,4692,Dysplasia,0,True,A002C019,1,0.65
123,3618,Benign,0,True,G31,0,0.65
39,4301,Dysplasia,0,True,F061,0,0.65
33,3725,Dysplasia,0,True,A002C016,0,0.65
81,3030,Dysplasia,0,True,F008,1,0.65
19,7624,Mucosa,0,True,G062,0,0.65
73,2387,Benign,0,True,G38,1,0.65
23,4701,Mucosa,0,True,G043,1,0.65
