init_clonal,total_muts,stage,final_clonal,is_poly,starting_sample,n_APC,mix_frac
57,2222,Benign,0,True,F-57,1,0.7
69,2637,Dysplasia,0,True,A002C116,1,0.7
637,8257,Dysplasia,0,True,A002C204,0,0.7
741,3068,Mucosa,0,True,G6B,0,0.7
95,3764,Dysplasia,0,True,F063,0,0.7
42,5706,Mucosa,0,True,F007,0,0.7
430,5033,Mucosa,0,True,F076B,0,0.7
209,3275,Dysplasia,1,True,F008,1,0.7
514,2774,Dysplasia,0,True,A002C202,0,0.7
237,3391,Mucosa,0,True,A014C001,1,0.7
55,3383,Dysplasia,0,True,F037,1,0.7
133,4601,Dysplasia,0,True,A002C019,1,0.7
123,4635,Mucosa,0,True,G051,0,0.7
430,5170,Dysplasia,0,True,F076B,0,0.7
503,6011,Dysplasia,0,True,G005,0,0.7
56,7617,Dysplasia,0,True,G062,0,0.7
209,3020,Mucosa,1,True,F008,1,0.7
209,3040,Dysplasia,1,True,F008,1,0.7
27,4658,Benign,0,True,A001C102,1,0.7
28,2553,Dysplasia,0,True,A002C207,0,0.7
57,2087,Benign,0,True,F-57,1,0.7
312,5026,Dysplasia,0,True,F-6,0,0.7
803,4547,Dysplasia,0,True,F080B,0,0.7
126,2370,Benign,0,True,G38,1,0.7
177,3620,Benign,0,True,G31,0,0.7
42,5703,Mucosa,0,True,F007,0,0.7
50,3133,Dysplasia,0,True,A002C103,0,0.7
104,1910,Mucosa,0,True,G69,0,0.7
136,4600,Dysplasia,0,True,A002C019,1,0.7
27,4660,Mucosa,0,True,A001C102,1,0.7
209,3022,Mucosa,1,True,F008,1,0.7
521,3841,Mucosa,0,True,A002C010,0,0.7
104,1905,Benign,0,True,G69,0,0.7
619,6974,Dysplasia,6,True,F088B,1,0.7
55,3383,Dysplasia,0,True,F037,1,0.7
71,1915,Benign,0,True,F-31,0,0.7
402,1989,Mucosa,0,True,G61B,1,0.7
741,3070,Mucosa,0,True,G6B,0,0.7
51,5743,Dysplasia,1,True,F007,0,0.7
23,2554,Dysplasia,0,True,A002C207,0,0.7
637,8224,Dysplasia,0,True,A002C204,0,0.7
312,5018,Dysplasia,0,True,F-6,0,0.7
57,4770,Dysplasia,0,True,G043,1,0.7
171,3165,Dysplasia,0,True,A001C004,1,0.7
42,5708,Dysplasia,0,True,F007,0,0.7
104,1923,Mucosa,0,True,G69,0,0.7
523,3838,Dysplasia,0,True,A002C010,0,0.7
172,3473,Dysplasia,0,True,F098,0,0.7
58,4681,Dysplasia,0,True,G043,1,0.7
70,4293,Dysplasia,0,True,F061,0,0.7
42,5960,Dysplasia,0,True,F007,0,0.7
42,5854,Dysplasia,0,True,F007,0,0.7
70,4277,Dysplasia,0,True,F061,0,0.7
521,3841,Mucosa,0,True,A002C010,0,0.7
402,1978,Mucosa,0,True,G61B,1,0.7
177,3616,Mucosa,0,True,G31,0,0.7
93,4070,Dysplasia,0,True,F092,0,0.7
803,4304,Dysplasia,0,True,F080B,0,0.7
70,1879,Benign,0,True,F-31,0,0.7
69,2638,Mucosa,0,True,A002C116,1,0.7
126,2378,Mucosa,0,True,G38,1,0.7
70,4283,Dysplasia,0,True,F061,0,0.7
126,2376,Mucosa,0,True,G38,1,0.7
55,3368,Dysplasia,0,True,F037,1,0.7
918,4980,Mucosa,0,True,G004,1,0.7
112,3092,Mucosa,0,True,F-26,0,0.7
70,4277,Dysplasia,0,True,F061,0,0.7
28,3201,Dysplasia,0,True,A002C107,0,0.7
101,3387,Mucosa,0,True,A002C016,0,0.7
205,7890,Mucosa,0,True,G025,0,0.7
57,4694,Mucosa,0,True,G043,1,0.7
172,3231,Dysplasia,0,True,F098,0,0.7
133,4851,Dysplasia,0,True,A002C019,1,0.7
314,5055,Dysplasia,0,True,F-6,0,0.7
172,3222,Mucosa,0,True,F098,0,0.7
1133,4719,Dysplasia,373,False,A002C203,0,0.7
55,3371,Dysplasia,0,True,F037,1,0.7
70,4285,Dysplasia,0,True,F061,0,0.7
205,7910,Dysplasia,0,True,G025,0,0.7
126,2375,Mucosa,0,True,G38,1,0.7
112,3097,Mucosa,0,True,F-26,0,0.7
430,5041,Dysplasia,0,True,F076B,0,0.7
30,5488,Mucosa,0,True,F002,1,0.7
207,7893,Dysplasia,0,True,G025,0,0.7
629,7028,Dysplasia,8,True,F088B,1,0.7
95,3618,Mucosa,0,True,F063,0,0.7
406,5628,Dysplasia,3,True,F074B,0,0.7
69,2896,Dysplasia,0,True,A002C116,1,0.7
637,8229,Mucosa,0,True,A002C204,0,0.7
312,5035,Dysplasia,0,True,F-6,0,0.7
494,3609,Dysplasia,10,True,F073B,0,0.7
918,4968,Mucosa,0,True,G004,1,0.7
640,8226,Dysplasia,0,True,A002C204,0,0.7
196,3198,Mucosa,0,True,G63,0,0.7
196,3196,Benign,0,True,G63,0,0.7
132,4982,Mucosa,0,True,G9,1,0.7
126,2386,Benign,0,True,G38,1,0.7
1133,4696,Dysplasia,373,False,A002C203,0,0.7
205,7895,Mucosa,0,True,G025,0,0.7
101,3387,Mucosa,0,True,A002C016,0,0.7
70,4301,Dysplasia,0,True,F061,0,0.7
95,3614,Mucosa,0,True,F063,0,0.7
237,3385,Mucosa,0,True,A014C001,1,0.7
918,4970,Mucosa,0,True,G004,1,0.7
70,4301,Dysplasia,0,True,F061,0,0.7
172,3217,Dysplasia,0,True,F098,0,0.7
93,3923,Mucosa,0,True,F092,0,0.7
402,1973,Dysplasia,0,True,G61B,1,0.7
172,3214,Dysplasia,0,True,F098,0,0.7
57,7623,Dysplasia,0,True,G062,0,0.7
42,5706,Dysplasia,0,True,F007,0,0.7
406,5618,Mucosa,3,True,F074B,0,0.7
23,2569,Dysplasia,0,True,A002C207,0,0.7
57,4701,Mucosa,0,True,G043,1,0.7
430,5041,Dysplasia,0,True,F076B,0,0.7
312,5026,Dysplasia,0,True,F-6,0,0.7
205,7890,Mucosa,0,True,G025,0,0.7
169,3049,Mucosa,0,True,A001C004,1,0.7
237,3533,Mucosa,1,True,A014C001,1,0.7
494,3501,Dysplasia,10,True,F073B,0,0.7
30,5489,Mucosa,0,True,F002,1,0.7
1031,4104,Benign,648,False,G3,0,0.7
430,5042,Mucosa,0,True,F076B,0,0.7
237,3475,Mucosa,1,True,A014C001,1,0.7
56,7711,Dysplasia,0,True,G062,0,0.7
55,3376,Dysplasia,0,True,F037,1,0.7
205,8144,Dysplasia,0,True,G025,0,0.7
28,3201,Dysplasia,0,True,A002C107,0,0.7
48,3129,Dysplasia,0,True,A002C103,0,0.7
177,3620,Benign,0,True,G31,0,0.7
57,4682,Mucosa,0,True,G043,1,0.7
23,2554,Dysplasia,0,True,A002C207,0,0.7
104,1911,Benign,0,True,G69,0,0.7
70,4293,Dysplasia,0,True,F061,0,0.7
382,3750,Mucosa,5,True,G024,1,0.7
1031,3847,Mucosa,705,False,G3,0,0.7
95,3613,Dysplasia,0,True,F063,0,0.7
642,8227,Dysplasia,0,True,A002C204,0,0.7
28,3246,Dysplasia,0,True,A002C107,0,0.7
237,3399,Mucosa,0,True,A014C001,1,0.7
494,3470,Dysplasia,10,True,F073B,0,0.7
56,7767,Dysplasia,0,True,G062,0,0.7
238,3381,Dysplasia,0,True,A014C001,1,0.7
123,4729,Dysplasia,0,True,G051,0,0.7
402,1978,Mucosa,0,True,G61B,1,0.7
112,3093,Dysplasia,0,True,F-26,0,0.7
27,4675,Benign,0,True,A001C102,1,0.7
1031,3849,Mucosa,705,False,G3,0,0.7
177,3610,Benign,0,True,G31,0,0.7
123,4644,Mucosa,0,True,G051,0,0.7
101,3386,Dysplasia,0,True,A002C016,0,0.7
430,5035,Mucosa,0,True,F076B,0,0.7
516,2693,Dysplasia,0,True,A002C202,0,0.7
29,3125,Dysplasia,0,True,A002C107,0,0.7
48,3127,Mucosa,0,True,A002C103,0,0.7
382,3746,Mucosa,5,True,G024,1,0.7
918,5011,Dysplasia,0,True,G004,1,0.7
1133,4838,Dysplasia,373,False,A002C203,0,0.7
30,5493,Mucosa,0,True,F002,1,0.7
70,2644,Dysplasia,0,True,A002C116,1,0.7
133,4596,Dysplasia,0,True,A002C019,1,0.7
1031,3854,Mucosa,705,False,G3,0,0.7
51,5743,Dysplasia,1,True,F007,0,0.7
29,3113,Dysplasia,0,True,A002C107,0,0.7
494,3475,Mucosa,10,True,F073B,0,0.7
430,5040,Mucosa,0,True,F076B,0,0.7
637,8318,Mucosa,0,True,A002C204,0,0.7
134,5050,Benign,0,True,G9,1,0.7
50,3128,Dysplasia,0,True,A002C103,0,0.7
918,4967,Mucosa,0,True,G004,1,0.7
57,4701,Mucosa,0,True,G043,1,0.7
57,2222,Benign,0,True,F-57,1,0.7
27,4657,Benign,0,True,A001C102,1,0.7
729,3732,Mucosa,161,False,G061,1,0.7
312,5018,Dysplasia,0,True,F-6,0,0.7
132,4957,Benign,0,True,G9,1,0.7
430,5038,Mucosa,0,True,F076B,0,0.7
57,4679,Mucosa,0,True,G043,1,0.7
430,5030,Dysplasia,0,True,F076B,0,0.7
56,7623,Mucosa,0,True,G062,0,0.7
57,4676,Dysplasia,2,True,G043,1,0.7
71,2651,Dysplasia,0,True,A002C116,1,0.7
503,6163,Dysplasia,0,True,G005,0,0.7
70,4282,Mucosa,0,True,F061,0,0.7
196,3207,Mucosa,0,True,G63,0,0.7
619,6991,Dysplasia,6,True,F088B,1,0.7
494,3488,Dysplasia,10,True,F073B,0,0.7
196,3196,Benign,0,True,G63,0,0.7
101,3396,Mucosa,0,True,A002C016,0,0.7
177,3870,Benign,0,True,G31,0,0.7
58,5797,Dysplasia,2,True,F072B,0,0.7
48,3126,Dysplasia,0,True,A002C103,0,0.7
494,3475,Mucosa,10,True,F073B,0,0.7
93,3927,Mucosa,0,True,F092,0,0.7
402,1985,Mucosa,0,True,G61B,1,0.7
402,2125,Mucosa,0,True,G61B,1,0.7
69,2642,Dysplasia,0,True,A002C116,1,0.7
637,8225,Dysplasia,0,True,A002C204,0,0.7
237,3413,Mucosa,0,True,A014C001,1,0.7
28,3259,Dysplasia,0,True,A002C107,0,0.7
