init_clonal,total_muts,stage,final_clonal,is_poly,starting_sample,n_APC,mix_frac
1229,3068,Mucosa,680,False,G6B,0,0.8
1151,3733,Mucosa,925,False,G061,1,0.8
167,2072,Mucosa,0,True,F-57,1,0.8
1313,8331,Dysplasia,708,False,A002C204,0,0.8
1176,2680,Dysplasia,1083,False,A002C202,0,0.8
225,1911,Mucosa,2,True,G69,0,0.8
1175,2722,Dysplasia,1083,False,A002C202,0,0.8
107,5484,Mucosa,0,True,F002,1,0.8
1229,3067,Dysplasia,680,False,G6B,0,0.8
1384,3845,Mucosa,1176,False,G3,0,0.8
351,4676,Dysplasia,7,True,G043,1,0.8
206,5703,Mucosa,0,True,F007,0,0.8
319,5791,Dysplasia,4,True,F072B,0,0.8
267,4278,Mucosa,2,True,F061,0,0.8
1126,5035,Dysplasia,675,False,F076B,0,0.8
1240,7022,Dysplasia,681,False,F088B,1,0.8
399,3386,Dysplasia,8,True,A002C016,0,0.8
327,3050,Dysplasia,0,True,A001C004,1,0.8
1240,6976,Dysplasia,681,False,F088B,1,0.8
577,7885,Dysplasia,0,True,G025,0,0.8
654,1975,Mucosa,396,False,G61B,1,0.8
107,5484,Mucosa,0,True,F002,1,0.8
351,4677,Dysplasia,7,True,G043,1,0.8
1151,3733,Mucosa,925,False,G061,1,0.8
80,2537,Dysplasia,0,True,A002C207,0,0.8
701,5018,Dysplasia,0,True,F-6,0,0.8
1229,3081,Dysplasia,680,False,G6B,0,0.8
124,3121,Dysplasia,1,True,A002C107,0,0.8
2024,4687,Dysplasia,1972,False,A002C203,0,0.8
351,4718,Dysplasia,7,True,G043,1,0.8
428,3233,Benign,0,True,G63,0,0.8
192,1879,Benign,0,True,F-31,0,0.8
427,3216,Dysplasia,16,True,F098,0,0.8
303,4613,Dysplasia,55,True,A002C019,1,0.8
1240,6976,Dysplasia,681,False,F088B,1,0.8
79,2537,Dysplasia,0,True,A002C207,0,0.8
314,3131,Dysplasia,0,True,F-26,0,0.8
304,4591,Dysplasia,55,True,A002C019,1,0.8
1384,3844,Benign,1176,False,G3,0,0.8
167,2071,Benign,0,True,F-57,1,0.8
241,3377,Dysplasia,2,True,F037,1,0.8
955,5627,Dysplasia,379,False,F074B,0,0.8
1151,3731,Dysplasia,925,False,G061,1,0.8
310,4026,Dysplasia,0,True,F092,0,0.8
320,4957,Benign,0,True,G9,1,0.8
1610,4290,Dysplasia,1215,False,F080B,0,0.8
270,4642,Dysplasia,0,True,G051,0,0.8
1240,6976,Dysplasia,681,False,F088B,1,0.8
270,4642,Dysplasia,0,True,G051,0,0.8
