init_clonal,total_muts,stage,final_clonal,is_poly,starting_sample,n_APC,mix_frac
4,1576,Dysplasia,0,True,F007,0,0.15
3,1108,Mucosa,0,True,A002C019,1,0.15
84,4957,Dysplasia,0,True,G044,0,0.15
8,1687,Dysplasia,0,True,A002C010,0,0.15
115,3339,Dysplasia,0,True,F072B,0,0.15
1,87,Mucosa,0,True,G38,0,0.15
3,49,Mucosa,0,True,G6B,0,0.15
4,1275,Dysplasia,0,True,F008,1,0.15
3,1610,Mucosa,0,True,A002C010,0,0.15
86,1741,Dysplasia,0,True,F063,0,0.15
20,2187,Dysplasia,1,True,F008,1,0.15
8,452,Dysplasia,0,True,F-6,0,0.15
130,2496,Dysplasia,0,True,G062,0,0.15
1,652,Mucosa,0,True,F063,0,0.15
1,814,Mucosa,0,True,F063,0,0.15
1,3377,Dysplasia,0,True,F088B,2,0.15
8,1687,Dysplasia,0,True,A002C010,0,0.15
9,2496,Dysplasia,0,True,F074B,0,0.15
4,1885,Benign,0,True,A001C102,1,0.15
18,2676,Dysplasia,1,True,A002C202,0,0.15
1,2287,Dysplasia,0,True,F080B,0,0.15
3,1232,Mucosa,0,True,G062,0,0.15
8,3585,Dysplasia,0,True,F088B,1,0.15
5,1635,Dysplasia,0,True,G061,1,0.15
1,1821,Mucosa,0,True,G025,0,0.15
3,2402,Mucosa,0,True,F074B,0,0.15
5,120,Mucosa,0,True,A001C004,0,0.15
6,269,Mucosa,0,True,G69,0,0.15
20,4299,Dysplasia,0,True,F088B,1,0.15
3,1783,Dysplasia,0,True,G025,0,0.15
84,1956,Dysplasia,0,True,A002C107,0,0.15
20,2440,Dysplasia,0,True,F007,0,0.15
2,2565,Mucosa,0,True,F073B,0,0.15
9,1766,Mucosa,0,True,F002,1,0.15
1,3277,Mucosa,0,True,G005,0,0.15
2,2970,Mucosa,0,True,G043,1,0.15
6,4053,Dysplasia,0,True,G044,0,0.15
1,946,Dysplasia,0,True,F098,0,0.15
5,627,Mucosa,0,True,G051,0,0.15
1,2196,Mucosa,0,True,F037,2,0.15
2,81,Mucosa,0,True,G6B,0,0.15
3,38,Mucosa,0,True,F-31,0,0.15
2,3145,Mucosa,0,True,G005,0,0.15
4,1048,Mucosa,0,True,F098,0,0.15
4,729,Mucosa,0,True,F063,0,0.15
86,1741,Dysplasia,0,True,F063,0,0.15
13,1399,Dysplasia,0,True,F063,0,0.15
